accession	reference_length	covered_bases	reads_mapped	avg_coverage	Sample_ID	PoolID
MG181590.1	3303	3301	30383	1337.2794	BDAPRA	p1835
MG181592.1	2591	742	773	39.01188	BDAPRA	p1835
LC133530.1	1062	63	1	0	BDAPRA	p1835
KJ412679.1	2530	496	12	0.5693277	BDAPRA	p1835
JN129069.1	2673	597	20	0.7649624	BDAPRA	p1835
JN129083.1	2508	302	16	0.9389313	BDAPRA	p1835
JN129027.1	528	79	1	0.105820104	BDAPRA	p1835
KC610679.1	2656	264	2	0.10614525	BDAPRA	p1835
KC610680.1	2532	154	4	0.19689336	BDAPRA	p1835
JQ993321.1	3302	119	1	0.013959391	BDAPRA	p1835
JQ993322.1	2717	205	6	0.13361901	BDAPRA	p1835
JQ993323.1	2591	334	3	0.12781647	BDAPRA	p1835
JQ993326.1	1076	265	13	1.424406	BDAPRA	p1835
JQ993325.1	1059	146	4	0.20682068	BDAPRA	p1835
JQ993318.1	1061	234	1	0.14270033	BDAPRA	p1835
LC190490.1	1355	151	5	0.6041494	BDAPRA	p1835
GQ149091.1	1804	158	3	0.13482466	BDAPRA	p1835
GQ149094.1	625	105	1	0.0968421	BDAPRA	p1835
GQ149095.1	1194	236	6	0.54980844	BDAPRA	p1835
KF726037.1	2719	202	10	0.54223436	BDAPRA	p1835
KF726038.1	2591	195	3	0.050389186	BDAPRA	p1835
GU199492.1	3302	171	1	0.19638325	BDAPRA	p1835
GU199500.1	1074	280	3	0.41017315	BDAPRA	p1835
GU199499.1	1059	65	1	0.0330033	BDAPRA	p1835
KC686933.1	948	812	676	101.92606	BDAPRA	p1835
KF726056.1	2359	197	6	0.35355365	BDAPRA	p1835
KF726063.1	1077	116	5	0.14131607	BDAPRA	p1835
KF726064.1	750	243	34	4.2766666	BDAPRA	p1835
JN258885.1	706	282	6	0.41007194	BDAPRA	p1835
KJ870901.1	2677	479	1088	59.2592	BDAPRA	p1835
KJ870902.1	2591	246	5	0.1622286	BDAPRA	p1835
KJ870906.1	1568	146	1	1.0952045	BDAPRA	p1835
KJ870908.1	1076	133	6	0.061555076	BDAPRA	p1835
JQ988899.1	3284	1905	317	11.845245	BDAPRA	p1835
KP258406.1	1072	77	1	0.0021691974	BDAPRA	p1835
KC140590.1	3302	458	24	1.0209391	BDAPRA	p1835
KC140597.1	664	417	171	42.433853	BDAPRA	p1835
KP882475.1	3249	1072	251	8.682801	BDAPRA	p1835
KP882477.1	2508	2420	11896	678.74725	BDAPRA	p1835
KP882480.1	933	151	38	5.538953	BDAPRA	p1835
FN665688.1	3302	441	993	42.032677	BDAPRA	p1835
FN665689.1	2687	104	3	0.0843516	BDAPRA	p1835
FN665690.1	2591	1789	3659	147.41623	BDAPRA	p1835
FN665693.1	1356	1104	2544	278.95605	BDAPRA	p1835
FN665694.1	1059	636	65	6.4169416	BDAPRA	p1835
GU296429.1	1356	516	2998	353.90463	BDAPRA	p1835
KU292526.1	954	393	101	14.279851	BDAPRA	p1835
EU708907.1	1546	320	5	0.46131805	BDAPRA	p1835
AB972857.1	2687	96	1	0.14820655	BDAPRA	p1835
AB972861.1	1062	70	1	0	BDAPRA	p1835
AB924095.1	3302	419	12	0.3981599	BDAPRA	p1835
AB924097.1	2589	296	3	0.1398114	BDAPRA	p1835
AB924098.1	2355	53	1	0.02403628	BDAPRA	p1835
AB924102.1	1049	421	47	4.9365964	BDAPRA	p1835
KY053210.1	2566	290	3	0.17425497	BDAPRA	p1835
KC443588.1	2650	1947	146	6.08	BDAPRA	p1835
KC443586.1	788	380	52	9.072101	BDAPRA	p1835
JX027878.1	2685	1741	307	15.422091	BDAPRA	p1835
JX971587.1	751	215	5	0.7670549	BDAPRA	p1835
KJ482389.1	1569	111	1	0.1205074	BDAPRA	p1835
KJ482416.1	1806	198	3	0.19565217	BDAPRA	p1835
KJ482497.1	1287	690	1248	149.74757	BDAPRA	p1835
KP231501.1	993	125	2	0.15895611	BDAPRA	p1835
EF672606.1	1476	126	5	0.37405732	BDAPRA	p1835
EF583018.1	2643	213	1	0.11030886	BDAPRA	p1835
EF583019.1	2508	57	1	0.024173029	BDAPRA	p1835
EF672569.1	1205	252	6	0.46729857	BDAPRA	p1835
EF554095.1	2591	78	1	0.008603032	BDAPRA	p1835
HQ661140.1	1594	108	2	0.14750692	BDAPRA	p1835
FJ347115.1	1356	93	2	0.103648424	BDAPRA	p1835
FJ347119.1	1077	88	1	0.010787486	BDAPRA	p1835
FJ347118.1	1059	146	6	0.44004402	BDAPRA	p1835
KJ482476.1	825	146	7	1.4533334	BDAPRA	p1835
JX567763.1	1359	984	603	58.27047	BDAPRA	p1835
JX567766.1	1070	67	1	0.07282609	BDAPRA	p1835
JX567767.1	736	141	4	0.6996587	BDAPRA	p1835
JX567768.1	667	88	1	0.26692456	BDAPRA	p1835
MW561977.1	28850	48	1	0.0016724739	BDAPRA	p1835
NC_011507.2	18562	1575	83	8.458885	CQKD3L	p1835
NC_044854.1	7693	151	3	0.06005568	CQKD3L	p1835
NC_044853.1	7677	182	4	0.057393383	CQKD3L	p1835
NC_001959.2	7654	157	9	0.14632197	CQKD3L	p1835
NC_039897.1	7745	1010	59	1.1144174	CQKD3L	p1835
NC_040876.1	7521	1328	327	6.219102	CQKD3L	p1835
NC_039477.1	7567	7510	9583	181.0058	CQKD3L	p1835
NC_039475.1	7556	6524	2521	48.36727	CQKD3L	p1835
NC_039476.1	7536	7439	12880	243.87476	CQKD3L	p1835
NC_044045.1	7551	151	41	0.81164706	CQKD3L	p1835
NC_044046.1	7543	91	1	0.012308941	CQKD3L	p1835
JX017384.1	7412	83	1	0.011429358	CQKD3L	p1835
KX868289.2	33676	33207	17225	71.02959	CQKD3L	p1835
GU191019.1	34177	735	44	0.21506451	CQKD3L	p1835
AM749299.1	33763	20576	3043	12.630173	CQKD3L	p1835
JN860680.1	35384	416	23	0.088919796	CQKD3L	p1835
MF502426.1	35341	487	42	0.16936149	CQKD3L	p1835
KX384958.1	35250	676	68	0.2751567	CQKD3L	p1835
MH355567.1	35217	477	16	0.072204635	CQKD3L	p1835
AC_000017.1	36001	3999	263	1.0242671	CQKD3L	p1835
AC_000007.1	35937	4342	266	1.010311	CQKD3L	p1835
AC_000008.1	35938	6727	580	2.2465072	CQKD3L	p1835
AB746853.1	34978	4277	479	1.9611807	CQKD3L	p1835
JQ326209.1	35153	16076	3490	13.993629	CQKD3L	p1835
AB448776.1	35215	14190	2045	8.047826	CQKD3L	p1835
NC_003266.2	35994	438	54	0.19615556	CQKD3L	p1835
NC_007455.1	5299	711	49	1.2983104	CQKD3L	p1835
NC_012564.1	5242	4494	811	20.938335	CQKD3L	p1835
NC_012042.1	5196	3268	1424	37.27844	CQKD3L	p1835
NC_012729.2	5104	1106	42	0.9572063	CQKD3L	p1835
NC_001802.1	9181	363	50	0.5206511	CQKD3L	p1835
FJ349096.1	35758	3123	173	0.6887778	CQKD3L	p1835
NC_045512.2	29903	1119	56	0.27926597	CQKD3L	p1835
MG212488.1	7435	151	37	0.71681535	CQKD3L	p1835
KY316160.1	34169	34169	81981	337.00732	CQKD3L	p1835
L19443.1	34214	11421	3111	12.490635	CQKD3L	p1835
AB008254.1	750	260	2	0.24333334	CQKD3L	p1835
AB008298.1	2359	1583	199	17.540064	CQKD3L	p1835
AB008673.1	613	599	5326	1519.5918	CQKD3L	p1835
AB010145.1	8251	7178	1649	28.420565	CQKD3L	p1835
AB042808.1	7697	139	5	0.08321187	CQKD3L	p1835
AB054688.1	5865	102	1	0.017847769	CQKD3L	p1835
AB186897.1	2525	2318	1137	63.87579	CQKD3L	p1835
AB187514.1	7746	206	9	0.18509743	CQKD3L	p1835
AB205396.1	7460	151	39	0.75950754	CQKD3L	p1835
AB220921.1	7559	1283	131	2.3190713	CQKD3L	p1835
AB308374.1	6673	6165	19981	424.49026	CQKD3L	p1835
AB331651.1	7399	111	17	0.18250793	CQKD3L	p1835
AB365435.1	7627	454	36	0.73010564	CQKD3L	p1835
AB433629.1	7349	214	3	0.037088484	CQKD3L	p1835
AB455793.2	7477	332	3	0.035894636	CQKD3L	p1835
AB522390.3	7452	302	8	0.16159956	CQKD3L	p1835
AB541261.1	7509	596	51	0.9581465	CQKD3L	p1835
AB614356.1	7476	1153	37	0.74706525	CQKD3L	p1835
AB623037.2	7442	7310	3629	70.21064	CQKD3L	p1835
AB738402.1	1273	172	1	0.042742655	CQKD3L	p1835
AB792642.1	1062	1009	242	36.538376	CQKD3L	p1835
AB933728.1	7467	545	9	0.24231242	CQKD3L	p1835
AB933730.1	7509	2099	434	8.4078	CQKD3L	p1835
AF043303.1	4679	4651	42584	1317.471	CQKD3L	p1835
AF063497.1	4718	497	25	0.7392732	CQKD3L	p1835
AF092924.1	8832	151	8	0.13303386	CQKD3L	p1835
AF093797.1	7598	1484	106	1.9179646	CQKD3L	p1835
AF108105.1	35100	13142	2149	8.565551	CQKD3L	p1835
AF144792.1	751	213	4	1.1580698	CQKD3L	p1835
AF144794.1	751	315	7	2.998336	CQKD3L	p1835
AF144801.1	751	270	12	6.703827	CQKD3L	p1835
AF144803.1	751	129	3	0.98169714	CQKD3L	p1835
AF144804.1	751	97	6	0.96672213	CQKD3L	p1835
AF165219.1	675	208	44	6.8742857	CQKD3L	p1835
AF183905.1	8550	739	34	0.555	CQKD3L	p1835
AF192260.1	5454	2113	257	6.5299773	CQKD3L	p1835
AF218266.2	3909	605	47	1.5256717	CQKD3L	p1835
AF225953.1	5951	521	26	0.6359248	CQKD3L	p1835
AF260508.1	6759	6505	31756	673.7024	CQKD3L	p1835
AF271090.1	1062	349	36	2.5657895	CQKD3L	p1835
AF316321.2	7411	144	10	0.1048065	CQKD3L	p1835
AF332135.1	1196	749	64	8.768642	CQKD3L	p1835
AF345526.1	3312	109	1	0.034471855	CQKD3L	p1835
AF352024.1	5776	157	14	0.3629577	CQKD3L	p1835
AF368033.1	3854	1937	277	10.220572	CQKD3L	p1835
AF368034.1	2203	1293	77	5.1651244	CQKD3L	p1835
AF378705.1	15690	1038	33	0.2902188	CQKD3L	p1835
AF401755.1	2359	366	66	4.617474	CQKD3L	p1835
AF473561.1	5666	2004	176	4.32161	CQKD3L	p1835
AF495467.1	5097	5008	1599	44.169193	CQKD3L	p1835
AF513851.1	4721	589	9	0.24502297	CQKD3L	p1835
AF513852.1	4393	449	19	0.5248645	CQKD3L	p1835
AF531420.1	7461	302	12	0.22500342	CQKD3L	p1835
AF536531.1	9812	1938	106	1.4579797	CQKD3L	p1835
AJ249939.1	7490	1403	129	2.456812	CQKD3L	p1835
AJ303139.1	2736	2474	5741	314.1102	CQKD3L	p1835
AJ489744.2	10140	151	3	0.044344343	CQKD3L	p1835
AJ606694.2	7443	89	3	0.034827918	CQKD3L	p1835
AM851091.1	9745	101	1	0.0029181866	CQKD3L	p1835
AX344110.1	5234	1208	109	3.199056	CQKD3L	p1835
AY116592.1	2592	124	3	0.25716627	CQKD3L	p1835
AY116593.1	751	251	34	4.565724	CQKD3L	p1835
AY134748.1	7537	393	429	7.5037227	CQKD3L	p1835
AY237415.2	7541	519	46	0.9039372	CQKD3L	p1835
AY237420.2	7458	4111	433	8.332786	CQKD3L	p1835
AY251269.2	10112	154	3	0.055109415	CQKD3L	p1835
AY302543.1	7416	167	40	0.78874207	CQKD3L	p1835
AY421769.1	7415	351	56	1.0122505	CQKD3L	p1835
AY443350.1	15690	3292	307	2.7595882	CQKD3L	p1835
AY527226.1	528	375	87	20.087301	CQKD3L	p1835
AY594670.1	1194	129	7	0.56130266	CQKD3L	p1835
AY603425.1	7476	443	8	0.14291564	CQKD3L	p1835
AY614708.1	5230	184	1	0.41102362	CQKD3L	p1835
AY646853.2	7429	432	14	0.26583323	CQKD3L	p1835
AY646854.2	7429	903	32	0.60489076	CQKD3L	p1835
AY646856.2	7500	5386	710	13.5137415	CQKD3L	p1835
AY694184.2	7429	525	23	0.37711224	CQKD3L	p1835
AY697461.1	7427	119	2	0.032705784	CQKD3L	p1835
AY720891.1	6723	6265	15743	327.64417	CQKD3L	p1835
AY752945.1	7400	72	1	0.009931034	CQKD3L	p1835
AY772730.1	7579	432	10	0.17875892	CQKD3L	p1835
AY816181.1	1062	66	1	0	CQKD3L	p1835
AY855068.1	752	130	3	0.21428572	CQKD3L	p1835
D00325.1	1356	493	1375	113.56634	CQKD3L	p1835
D00530.1	5987	1939	127	3.1188967	CQKD3L	p1835
D13403.1	2359	407	18	1.230421	CQKD3L	p1835
D14723.1	2363	2130	2224	140.57388	CQKD3L	p1835
D38150.1	1567	1053	74	6.275935	CQKD3L	p1835
DQ062572.1	981	78	1	0.09386282	CQKD3L	p1835
DQ125333.1	7437	6748	3994	77.733635	CQKD3L	p1835
DQ220017.1	1435	239	10	1.0490272	CQKD3L	p1835
DQ220020.1	1331	127	7	0.42421678	CQKD3L	p1835
DQ288660.1	750	382	199	34.01	CQKD3L	p1835
DQ366347.1	7558	150	3	0.12823974	CQKD3L	p1835
DQ415279.1	7559	895	86	1.4802268	CQKD3L	p1835
DQ664184.1	3854	1344	67	2.2086933	CQKD3L	p1835
DQ664187.1	2304	640	51	2.7655525	CQKD3L	p1835
DQ664188.1	2203	761	48	3.0579638	CQKD3L	p1835
DQ664190.1	1331	109	1	0.0169348	CQKD3L	p1835
DQ811788.1	28571	22313	15430	76.12441	CQKD3L	p1835
EF059918.1	750	739	10462	2222.395	CQKD3L	p1835
EF059920.1	2359	58	1	0.026256224	CQKD3L	p1835
EF059923.1	2359	2359	215501	13760.453	CQKD3L	p1835
EF362755.1	7863	291	20	0.3634124	CQKD3L	p1835
EF444549.1	5229	192	26	0.72100806	CQKD3L	p1835
EF494445.1	1463	151	7	0.80502665	CQKD3L	p1835
EF555645.1	7438	150	3	0.032793634	CQKD3L	p1835
EF681764.1	7229	505	22	0.44215286	CQKD3L	p1835
EU000534.1	5674	146	1	0.06698045	CQKD3L	p1835
EU233812.1	4139	270	21	0.69867134	CQKD3L	p1835
EU410348.1	7423	173	10	0.20472983	CQKD3L	p1835
EU424062.1	15462	505	24	0.21460293	CQKD3L	p1835
EU556224.1	7146	265	27	0.549171	CQKD3L	p1835
EU681176.2	7842	2201	185	3.352184	CQKD3L	p1835
EU681177.2	7809	145	1	0.018931976	CQKD3L	p1835
EU681178.2	7846	539	77	1.4324324	CQKD3L	p1835
EU708890.1	3269	3236	5064	227.09009	CQKD3L	p1835
EU708891.1	2653	2402	1385	75.61646	CQKD3L	p1835
EU708892.1	2552	326	5	0.13863447	CQKD3L	p1835
EU708895.1	1007	979	430	67.7923	CQKD3L	p1835
EU708896.1	1546	1516	1170	116.44341	CQKD3L	p1835
EU708897.1	1022	500	80	11.829128	CQKD3L	p1835
EU708898.1	1025	1025	1824	289.52914	CQKD3L	p1835
EU708899.1	704	698	1718	373.20398	CQKD3L	p1835
EU708900.1	631	630	191	41.948025	CQKD3L	p1835
EU796884.1	7899	302	4	0.07768744	CQKD3L	p1835
EU840952.2	7108	150	1	0.02155792	CQKD3L	p1835
FJ025904.1	37860	183	2	0.0048528244	CQKD3L	p1835
FJ025908.1	35694	151	3	0.012744767	CQKD3L	p1835
FJ025921.1	36635	50	1	0.0013704262	CQKD3L	p1835
FJ222451.1	6171	6149	7550	173.5994	CQKD3L	p1835
FJ361201.1	3267	2514	573	24.267885	CQKD3L	p1835
FJ361202.1	2673	486	36	1.6829171	CQKD3L	p1835
FJ361206.1	1194	279	18	2.8237548	CQKD3L	p1835
FJ361207.1	942	220	3	0.3270202	CQKD3L	p1835
FJ361210.1	528	190	4	0.46296296	CQKD3L	p1835
FJ445122.1	7129	161	31	0.64536464	CQKD3L	p1835
FJ445173.1	7133	141	3	0.05985966	CQKD3L	p1835
FJ537134.1	7580	158	4	0.055585463	CQKD3L	p1835
FJ537136.1	7580	325	73	1.1422611	CQKD3L	p1835
FJ755404.1	6771	5187	4818	99.58632	CQKD3L	p1835
FJ755405.1	6771	5603	10368	218.33061	CQKD3L	p1835
FJ804072.1	7184	181	24	0.500853	CQKD3L	p1835
FJ938051.1	29232	803	220	0.9332921	CQKD3L	p1835
FJ938052.1	29306	1401	164	0.6491631	CQKD3L	p1835
FJ938053.1	29277	907	32	0.14666805	CQKD3L	p1835
FJ938056.1	29253	1263	171	0.7032952	CQKD3L	p1835
FJ938057.1	29275	984	230	1.0270214	CQKD3L	p1835
FJ938058.1	28479	909	45	0.16943768	CQKD3L	p1835
FJ938060.1	29256	607	177	0.7295747	CQKD3L	p1835
FJ938062.1	29266	1388	144	0.5601731	CQKD3L	p1835
FJ941110.1	700	173	11	1.829091	CQKD3L	p1835
FJ970917.1	2736	126	2	0.07269915	CQKD3L	p1835
FJ973560.1	4958	4056	1405	39.126873	CQKD3L	p1835
FJ973620.1	6586	6571	33625	719.18317	CQKD3L	p1835
FM955837.2	7466	185	8	0.13914707	CQKD3L	p1835
FM955838.1	7698	151	3	0.059088502	CQKD3L	p1835
GQ183026.1	7283	399	32	0.62147766	CQKD3L	p1835
GQ184145.1	7989	206	9	0.15843858	CQKD3L	p1835
GQ225788.1	3267	142	17	1.5816491	CQKD3L	p1835
GQ225794.1	1194	1192	4067	485.12643	CQKD3L	p1835
GQ225800.1	597	63	1	0.1409396	CQKD3L	p1835
GQ225818.1	954	316	18	5.9514923	CQKD3L	p1835
GQ225836.1	2643	421	6	0.3188929	CQKD3L	p1835
GQ246951.1	7597	302	4	0.078689404	CQKD3L	p1835
GQ261222.1	7458	193	2	0.020388614	CQKD3L	p1835
GQ415660.1	6534	6326	1391	29.259241	CQKD3L	p1835
GQ428137.1	1060	329	5	0.44505495	CQKD3L	p1835
GQ428139.1	751	294	95	9.252912	CQKD3L	p1835
GQ428140.1	667	337	50	13.230174	CQKD3L	p1835
GQ463194.1	712	260	36	2.1423488	CQKD3L	p1835
GQ845368.2	7559	319	3	0.11432042	CQKD3L	p1835
GQ845369.3	7560	1580	308	5.865722	CQKD3L	p1835
GQ845370.2	7523	842	102	1.9391022	CQKD3L	p1835
GQ845444.1	7397	1001	112	2.1440597	CQKD3L	p1835
GU017903.2	7529	4998	1031	19.49695	CQKD3L	p1835
GU233853.1	7219	302	20	0.4010468	CQKD3L	p1835
GU452720.1	3893	270	5	0.20170985	CQKD3L	p1835
GU553361.1	29264	533	96	0.3352339	CQKD3L	p1835
GU589577.1	3860	1828	209	7.336388	CQKD3L	p1835
GU589578.1	3916	285	13	0.50663835	CQKD3L	p1835
GU589579.1	3901	1417	148	5.3244467	CQKD3L	p1835
GU589580.1	2304	1993	763	48.692665	CQKD3L	p1835
GU589581.1	2207	1734	325	21.472532	CQKD3L	p1835
GU589583.1	1416	104	2	0.157188	CQKD3L	p1835
GU589584.1	1331	1303	1399	159.44539	CQKD3L	p1835
GU595289.1	8047	524	9	0.26085857	CQKD3L	p1835
GU937877.1	3302	3302	239482	10631.285	CQKD3L	p1835
GU937878.1	2692	173	2	0.06530291	CQKD3L	p1835
GU937879.1	2591	1244	78	5.3756657	CQKD3L	p1835
GU937881.1	1356	1345	160809	19211.527	CQKD3L	p1835
GU937884.1	1059	1003	403	88.22992	CQKD3L	p1835
GU937885.1	1075	107	3	0	CQKD3L	p1835
GU937886.1	751	565	357	49.87188	CQKD3L	p1835
GU943513.1	8054	259	22	0.3824646	CQKD3L	p1835
GU983673.1	2712	52	1	0.020296643	CQKD3L	p1835
GU984757.1	1356	1283	3896	381.72055	CQKD3L	p1835
GU984760.1	1062	71	1	0	CQKD3L	p1835
GU991355.1	7544	1574	175	3.290641	CQKD3L	p1835
HM002617.1	7433	124	1	0.017025951	CQKD3L	p1835
HM011556.1	5387	3934	507	13.389918	CQKD3L	p1835
HM011560.1	4926	647	54	1.5286851	CQKD3L	p1835
HM011566.1	4952	268	26	0.7353186	CQKD3L	p1835
HM035533.1	700	83	1	0.027272727	CQKD3L	p1835
HM237363.1	6772	1897	1393	28.166868	CQKD3L	p1835
HM590588.1	2383	268	8	0.45588893	CQKD3L	p1835
HM999987.1	7293	563	28	0.51812965	CQKD3L	p1835
HM999994.1	7374	532	51	1.1687431	CQKD3L	p1835
HQ012370.1	29266	1037	195	0.8037505	CQKD3L	p1835
HQ012371.1	29274	535	89	0.3410589	CQKD3L	p1835
HQ385748.1	5309	54	1	0.010467145	CQKD3L	p1835
HQ388348.2	5666	1034	135	3.406998	CQKD3L	p1835
HQ392470.1	29255	1044	98	0.3367119	CQKD3L	p1835
HQ392471.1	29252	1127	127	0.47824892	CQKD3L	p1835
HQ440224.1	1062	336	83	7.939693	CQKD3L	p1835
HQ834197.1	3302	1259	302	12.68052	CQKD3L	p1835
HQ834198.1	2686	266	10	0.27996844	CQKD3L	p1835
HQ834203.1	1059	501	143	12.10231	CQKD3L	p1835
HQ834204.1	1070	139	3	0.010869565	CQKD3L	p1835
HQ834205.1	751	265	87	7.6156406	CQKD3L	p1835
HQ834207.1	2542	199	5	0.42391303	CQKD3L	p1835
J02226.1	5130	4979	5542	152.24338	CQKD3L	p1835
J02400.1	5243	5243	5512	146.92204	CQKD3L	p1835
JF309307.1	664	93	1	0.1770428	CQKD3L	p1835
JF742759.1	6119	5820	1538	35.894287	CQKD3L	p1835
JF831950.1	1059	194	2	5.60066	CQKD3L	p1835
JF831951.1	654	78	1	0.15476191	CQKD3L	p1835
JF831955.1	672	464	252	45.45594	CQKD3L	p1835
JN088541.1	8289	6548	1220	20.77184	CQKD3L	p1835
JN183882.1	29243	1038	88	0.37156704	CQKD3L	p1835
JN183883.1	29222	1307	104	0.49174464	CQKD3L	p1835
JN254802.1	36711	164	2	0.004485654	CQKD3L	p1835
JN379039.1	7798	1131	66	1.2263337	CQKD3L	p1835
JN542510.1	7404	1451	129	2.2961125	CQKD3L	p1835
JN648103.1	5413	5048	2996	78.453354	CQKD3L	p1835
JN799419.1	1436	151	5	0.46578538	CQKD3L	p1835
JN799421.1	1168	1147	426	55.189587	CQKD3L	p1835
JN799422.1	1161	1079	199	26.41642	CQKD3L	p1835
JN799423.1	2306	2264	1665	106.99861	CQKD3L	p1835
JN799424.1	2205	152	48	2.2880778	CQKD3L	p1835
JN799425.1	2243	2200	1097	70.80746	CQKD3L	p1835
JN799426.1	3857	3793	3240	121.94146	CQKD3L	p1835
JN799427.1	3916	1532	122	4.9033456	CQKD3L	p1835
JN799428.1	3903	3874	1891	70.537704	CQKD3L	p1835
JN880454.1	35578	77	1	0.0021734221	CQKD3L	p1835
JQ308210.1	2359	265	18	1.1104572	CQKD3L	p1835
JQ388274.1	7691	927	64	1.1733192	CQKD3L	p1835
JQ404409.1	29462	23044	15759	74.1424	CQKD3L	p1835
JQ412755.1	3854	1875	202	7.489741	CQKD3L	p1835
JQ412756.1	3915	1257	98	3.57583	CQKD3L	p1835
JQ412759.1	2204	1025	115	8.510224	CQKD3L	p1835
JQ412760.1	2241	729	35	2.2606409	CQKD3L	p1835
JQ412763.1	1198	1013	195	22.807251	CQKD3L	p1835
JQ412764.1	1196	434	82	6.956979	CQKD3L	p1835
JQ423898.1	1059	425	10	0.99559957	CQKD3L	p1835
JQ423899.1	1076	200	11	0.17278618	CQKD3L	p1835
JQ423900.1	750	720	229	46.74	CQKD3L	p1835
JQ423901.1	946	300	12	2.4384422	CQKD3L	p1835
JQ423902.1	3302	208	2	0.06567259	CQKD3L	p1835
JQ622197.1	7583	678	11	0.19521055	CQKD3L	p1835
JQ692585.1	5331	575	47	1.2814128	CQKD3L	p1835
JQ898342.1	6939	67	1	0.009868906	CQKD3L	p1835
JQ911594.1	7696	5399	1419	26.032866	CQKD3L	p1835
JQ911763.1	8216	4879	589	10.176667	CQKD3L	p1835
JX017383.1	7408	105	1	0.014466795	CQKD3L	p1835
JX159985.1	5189	229	2	0.62671167	CQKD3L	p1835
JX163901.1	7781	1017	86	1.6152536	CQKD3L	p1835
JX174176.1	7397	294	18	0.36829033	CQKD3L	p1835
JX195074.1	3302	2404	3433	151.33629	CQKD3L	p1835
JX195075.1	2735	1654	2577	139.97795	CQKD3L	p1835
JX195076.1	2591	2588	28996	1687.868	CQKD3L	p1835
JX195078.1	1356	1347	35215	4005.4734	CQKD3L	p1835
JX195079.1	1061	94	11	1.1712404	CQKD3L	p1835
JX195080.1	1567	1564	7527	734.2153	CQKD3L	p1835
JX195081.1	1059	1059	3816	559.5688	CQKD3L	p1835
JX195082.1	1074	497	85	7.823593	CQKD3L	p1835
JX195083.1	750	307	165	28.716667	CQKD3L	p1835
JX195084.1	664	658	2934	730.94745	CQKD3L	p1835
JX304792.1	7549	116	1	0.011217732	CQKD3L	p1835
JX390654.1	7425	95	2	0.017869417	CQKD3L	p1835
JX413109.1	7238	302	36	0.6977991	CQKD3L	p1835
JX415465.1	1331	667	168	19.33531	CQKD3L	p1835
JX415467.1	3915	1163	84	3.1803453	CQKD3L	p1835
JX415470.1	1198	305	29	3.9007633	CQKD3L	p1835
JX503060.1	27263	244	5	0.018699517	CQKD3L	p1835
JX846924.1	7527	302	14	0.283313	CQKD3L	p1835
JX846927.1	7534	2986	242	4.5924973	CQKD3L	p1835
JX857868.1	6581	1574	97	2.1194215	CQKD3L	p1835
JX857870.1	6124	5183	1076	24.342651	CQKD3L	p1835
JX971570.1	2717	768	131	7.01753	CQKD3L	p1835
JX971571.1	2591	246	3	0.097910695	CQKD3L	p1835
JX989075.1	7550	404	25	0.43608108	CQKD3L	p1835
K02086.1	1356	420	4	1.5547264	CQKD3L	p1835
KC013592.1	7556	587	41	0.7215771	CQKD3L	p1835
KC152922.1	685	235	114	18.323364	CQKD3L	p1835
KC631814.1	7575	1555	531	10.169293	CQKD3L	p1835
KC782514.2	1566	1564	94283	9270.51	CQKD3L	p1835
KC782515.2	1059	1059	59533	8149.136	CQKD3L	p1835
KC782516.2	1066	1065	62089	9754.405	CQKD3L	p1835
KC782518.2	816	813	54933	10838.063	CQKD3L	p1835
KC782520.2	2687	2687	329029	17896.445	CQKD3L	p1835
KF039910.1	6792	5165	15717	327.02875	CQKD3L	p1835
KF275669.1	4945	266	12	0.32429615	CQKD3L	p1835
KF294380.2	28763	151	6	0.029741725	CQKD3L	p1835
KF294862.1	2282	279	10	0.54409003	CQKD3L	p1835
KF306213.1	7578	198	3	0.03379106	CQKD3L	p1835
KF306214.1	7605	2995	946	18.017036	CQKD3L	p1835
KF360047.1	34163	656	6	0.037191663	CQKD3L	p1835
KF374704.1	6780	3734	714	14.81629	CQKD3L	p1835
KF429760.1	7506	394	6	0.17006525	CQKD3L	p1835
KF429784.1	7509	244	12	0.15056394	CQKD3L	p1835
KF429792.1	7509	707	33	0.60864246	CQKD3L	p1835
KF499111.1	6795	5148	749	15.230399	CQKD3L	p1835
KF712502.1	7509	907	106	2.112787	CQKD3L	p1835
KF787112.2	6706	112	1	0.017083587	CQKD3L	p1835
KF792837.1	5479	5382	1693	42.66429	CQKD3L	p1835
KF878965.2	17091	534	108	0.88637036	CQKD3L	p1835
KJ196277.1	7554	377	26	0.51728797	CQKD3L	p1835
KJ196286.1	7535	479	7	0.11767095	CQKD3L	p1835
KJ196288.1	7512	60	2	0.0142624285	CQKD3L	p1835
KJ196294.1	7521	393	44	0.8414055	CQKD3L	p1835
KJ196295.1	7543	6804	1600	30.507778	CQKD3L	p1835
KJ196298.1	7745	367	21	0.36945358	CQKD3L	p1835
KJ541167.1	7371	3845	480	9.527766	CQKD3L	p1835
KJ685410.1	6428	173	2	0.08474036	CQKD3L	p1835
KM023140.1	7998	2654	238	4.3473496	CQKD3L	p1835
KM068050.1	8313	2265	81	1.2774715	CQKD3L	p1835
KM198573.1	7421	73	1	0.010039885	CQKD3L	p1835
KM369887.2	1485	1098	301	31.420975	CQKD3L	p1835
KM454481.1	3302	585	5	0.9213198	CQKD3L	p1835
KM454482.1	2686	207	2	0.102917984	CQKD3L	p1835
