accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
AF144803.1	751	Equine rotavirus strain FI-14 nonstructural protein NSP4 gene, complete cds	36442	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Equine rotavirus	Equine rotavirus (serotype 14 / strain FI-14)	Equine rotavirus (serotype 14 / strain FI-14)
AF144804.1	751	Bovine rotavirus strain BRV033 nonstructural protein NSP4 gene, complete cds	101355	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine rotavirus strain BRV033	Bovine rotavirus strain BRV033
AF145400.1	2024	Saint Croix river virus segment 3 VP3 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145401.1	2017	Saint Croix river virus segment 4 VP4 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145402.1	1664	Saint Croix river virus segment 5 VP5 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145403.1	1657	Saint Croix river virus segment 6 NS1 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145404.1	1463	Saint Croix river virus segment 7 NS2 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145405.1	1256	Saint Croix river virus segment 8 VP7 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145406.1	764	Saint Croix river virus segment 9 VP6 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145407.1	764	Saint Croix river virus segment 10 NS3 gene, complete cds	104581	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	St Croix River virus	unclassified St Croix River virus subspecies/strain	unclassified St Croix River virus strain
AF145977.2	3651	Hantavirus Gou3 segment M G1/G2 glycoprotein gene, complete cds	93831	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Seoul orthohantavirus	Seoulvirus Gou3	Seoulvirus Gou3
AF150629.1	9491	Acute bee paralysis virus, complete genome	92444	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Aparavirus	Acute bee paralysis virus	unclassified Acute bee paralysis virus subspecies/strain	unclassified Acute bee paralysis virus strain
AF151983.1	8104	Human papillomavirus type 83, complete genome	333772	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 3	human papillomavirus 83	human papillomavirus 83
AF157029.1	5899	Sugarcane yellow leaf virus complete genome	94290	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Sugarcane yellow leaf virus	unclassified Sugarcane yellow leaf virus subspecies/strain	unclassified Sugarcane yellow leaf virus strain
AF160193.1	10116	Apoi virus polyprotein gene, complete cds	64280	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Apoi virus	unclassified Apoi virus subspecies/strain	unclassified Apoi virus strain
AF162711.1	7440	Echovirus 30 strain Bastianni, complete genome	41846	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Echovirus E30	Echovirus E30
AF165219.1	675	Porcine rotavirus strain A34 NSP4 (10) gene, complete cds	107263	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	Porcine rotavirus A34	Porcine rotavirus A34
AF168005.1	3762	Banna virus segment 1, VP1 gene, complete cds	77763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Seadornavirus	Banna virus	unclassified Banna virus subspecies/strain	unclassified Banna virus strain
AF168006.1	1671	Banna virus segment 6, VP6 gene, complete cds	77763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Seadornavirus	Banna virus	unclassified Banna virus subspecies/strain	unclassified Banna virus strain
AF169003.1	9693	Hepatitis C virus subtype 2a isolate G2aK1, complete genome	31649	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus subtype 2a	Hepatitis C virus subtype 2a
AF176320.1	897	Trichoplusia ni cypovirus C-polyhedrin protein mRNA, complete cds	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF178440.1	9010	Triatoma virus nonstructural protein precursor and capsid protein precursor, genes, partial cds	103442	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	Triatoma virus	unclassified Triatoma virus subspecies/strain	unclassified Triatoma virus strain
AF179368.1	8935	HIV-1 strain GR17 from Greece complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF183905.1	8550	Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds	92395	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	Black queen cell virus	unclassified Black queen cell virus subspecies/strain	unclassified Black queen cell virus strain
AF184083.1	814	Human rotavirus B strain CAL outer capsid protein VP7 gene, complete cds	106330	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	Human rotavirus B strain CAL	Human rotavirus B strain CAL
AF184987.1	1701	Hantavirus Z10 S segment nucleocapsid protein mRNA, complete cds	93830	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus Z10	unclassified Hantavirus Z10 subspecies/strain	unclassified Hantavirus Z10 strain
AF184988.1	1759	Hantavirus Gou3 S segment nucleocapsid protein mRNA, complete cds	93831	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Seoul orthohantavirus	Seoulvirus Gou3	Seoulvirus Gou3
AF188115.1	8589	Simian immunodeficiency virus Gag protein gene, complete cds; Pol protein gene, partial cds; Vif protein (Vif), Vpr protein (Vpr), truncated Tat protein (Tat), Rev protein (Rev), Env protein (Env), and Nef protein (Nef) genes, complete cds; and long terminal repeat, partial sequence	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain
AF188116.1	8594	Simian immunodeficiency virus Gag protein gene, complete cds; Pol protein gene, partial cds; Vif protein (Vif), Vpr protein (Vpr), Tat protein (Tat), Rev protein (Rev), Env protein (Env), and Nef protein (Nef) genes, complete cds; and long terminal repeat, partial sequence	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain
AF190127.1	9056	HIV-1 isolate VI991 from Belgium Gag polyprotein (gag), Pol polyprotein (pol), Vif (vif), Vpr (vpr), truncated Tat (tat), Rev (rev), truncated Vpu (vpu), envelope glycoprotein precursor (env), and Nef (nef) genes, complete cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF190128.1	8955	HIV-1 isolate VI997 from Belgium Gag polyprotein (gag), truncated Pol polyprotein (pol), Vif (vif), truncated Vpr (vpr), Tat (tat), Rev (rev), Vpu (vpu), envelope glycoprotein precursor (env), and Nef (nef) genes, complete cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF192260.1	5454	Periplaneta fuliginosa densovirus, complete genome	97344	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Pefuambidensovirus	Blattodean pefuambidensovirus 1	Periplaneta fuliginosa densovirus	Periplaneta fuliginosa densovirus
AF193253.1	9083	HIV-1 subtype F/D isolate VI1310 from Belgium gag protein (gag), pol protein (pol), vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF193276.1	8808	HIV-1 CRF03_AB isolate KAL153 from Russia, complete genome	540995	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	HIV-1 CRF03_AB	HIV-1 CRF03_AB
AF193864.1	3182	Orangutan hepatitis B virus strain Papa, complete genome	2772505	Viruses	Artverviricota	Revtraviricetes	Blubervirales	Hepadnaviridae	Orthohepadnavirus	Hepatitis B virus	orangutan hepatitis B virus	orangutan hepatitis B virus
AF195825.1	600	Groundnut rosette assistor virus clone N15GCP coat protein gene, complete cds	33761	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	unclassified Solemoviridae genus	Groundnut rosette assistor virus	unclassified Groundnut rosette assistor virus subspecies/strain	unclassified Groundnut rosette assistor virus strain
AF197340.1	9628	HIV-1 isolate 90CF11697 from Central African Republic, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF197341.1	9597	HIV-1 isolate 90CF4071 from Central African Republic, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF201902.1	12035	Equine foamy virus Equus caballus, complete genome	2849477	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Equispumavirus	Equine foamy virus	equine foamy virus Equus caballus	equine foamy virus Equus caballus
AF205850.1	979	Human rotavirus B strain CAL-1 segment 8 putative nonstructural protein NSP2 gene, complete cds	121794	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	Human rotavirus B strain CAL-1	Human rotavirus B strain CAL-1
AF206663.2	7355	Avastrovirus 3 polyprotein gene, complete cds; RNA polymerase gene, partial cds; and capsid protein gene, complete cds	1239439	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Avastrovirus	Avastrovirus 3	unclassified Avastrovirus 3 subspecies/strain	unclassified Avastrovirus 3 strain
AF207658.1	2706	Bovine adenovirus type 5 hexon gene, partial cds	111166	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Bovine atadenovirus D	Bovine adenovirus 5	Bovine adenovirus 5
AF207902.1	31277	Murine hepatitis virus strain ML-11 RNA-directed RNA polymerase (orf1A), RNA-directed RNA polymerase (orf1B), non-structural protein (orf2A), hemagglutinin esterase protein (orf2B), spike glycoprotein precursor (orf3), non-structural protein (orf5A), envelope glycoprotein E (orf5B), matrix glycoprotein (orf6), and nucleocapsid protein (orf7) genes, complete cds	123595	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Murine coronavirus	Murine hepatitis virus strain ML-11	Murine hepatitis virus strain ML-11
AF208027.1	9599	HIV-2 isolate Abt96 from Cote d'Ivoire gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpx protein (vpx), vpr protein (vpr), tat protein (tat), rev protein (rev), env protein (env), and nef protein (nef) genes, complete cds	11709	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 2	unclassified Human immunodeficiency virus 2 subspecies/strain	unclassified Human immunodeficiency virus 2 strain
AF218039.1	9185	Cricket paralysis virus nonstructural polyprotein and structural polyprotein genes, complete cds	12136	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Cricket paralysis virus	unclassified Cricket paralysis virus subspecies/strain	unclassified Cricket paralysis virus strain
AF218266.2	3909	Infectious hypodermal and hematopoietic necrosis virus, complete genome	1513224	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	unclassified Decapod penstyldensovirus 1 subspecies/strain	unclassified Decapod penstyldensovirus 1 strain
AF218358.1	1643	Avian reovirus strain 176 segment S1 membrane fusion protein p10, p17, and virus-cell attachment protein sigma C genes, complete cds	118025	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	ARV-176	ARV-176
AF218359.1	1643	Avian reovirus strain 138 segment S1 membrane fusion protein p10, p17, and virus-cell attachment protein sigma C genes, complete cds	118026	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	ARV-138	ARV-138
AF218360.1	1617	Nelson bay reovirus segment S1 membrane fusion protein p10, p17, and virus-cell attachment protein sigma C genes, complete cds	118027	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Nelson Bay orthoreovirus	unclassified Nelson Bay orthoreovirus subspecies/strain	unclassified Nelson Bay orthoreovirus strain
AF218798.2	5695	Barley yellow dwarf virus-PAS PAV-129, complete genome	2169985	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Luteovirus	Barley yellow dwarf virus PAS	unclassified Barley yellow dwarf virus PAS subspecies/strain	unclassified Barley yellow dwarf virus PAS strain
AF221122.1	5342	Rhesus macaque parvovirus long terminal repeat, partial sequence; NS protein and capsid protein genes, complete cds; and long terminal repeat, partial sequence	119756	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Erythroparvovirus	Primate erythroparvovirus 3	Rhesus macaque parvovirus	Rhesus macaque parvovirus
AF221123.1	5049	Pig-tailed macaque parvovirus long terminal repeat, partial sequence; NS protein and capsid protein genes, complete cds; and long terminal repeat, partial sequence	119755	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Erythroparvovirus	Primate erythroparvovirus 4	Pig-tailed macaque parvovirus	Pig-tailed macaque parvovirus
AF224336.1	26163	Frog adenovirus 1, complete genome	114102	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Frog siadenovirus A	Frog adenovirus 1	Frog adenovirus 1
AF225953.1	5951	Broad bean wilt virus 2 segment RNA1, complete sequence	76875	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Fabavirus	Broad bean wilt virus 2	unclassified Broad bean wilt virus 2 subspecies/strain	unclassified Broad bean wilt virus 2 strain
AF225954.1	3607	Broad bean wilt virus 2 segment RNA2, complete sequence	76875	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Fabavirus	Broad bean wilt virus 2	unclassified Broad bean wilt virus 2 subspecies/strain	unclassified Broad bean wilt virus 2 strain
AF227240.1	7565	Oryctolagus cuniculus papillomavirus 1, complete genome	2772507	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Kappapapillomavirus	Kappapapillomavirus 1	Oryctolagus cuniculus papillomavirus 1	Oryctolagus cuniculus papillomavirus 1
AF230973.1	7456	Enterovirus Yanbian 96-83csf, complete genome	123738	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Enterovirus Yanbian 96-83csf	Enterovirus Yanbian 96-83csf
AF234321.1	820	Grass carp hemorrhagic virus segment S11 nonstructural protein NS26 and nonstructural protein NS20 genes, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF235168.2	5662	Cereal yellow dwarf virus-RPS RPV Mex-1, complete genome	228582	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Cereal yellow dwarf virus RPS	unclassified Cereal yellow dwarf virus RPS subspecies/strain	unclassified Cereal yellow dwarf virus RPS strain
AF236688.1	909	Grass carp hemorrhagic virus segment S10 outer capsid protein VP7 gene, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF237665.1	2362	Bovine Rotavirus Strain Hg18 outer capsid protein VP4 mRNA, complete cds	141270	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine Rotavirus Strain Hg18	Bovine Rotavirus Strain Hg18
AF237666.1	1063	Bovine Rotavirus Strain Hg18 outer capsid protein VP7 mRNA, complete cds	141270	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Bovine Rotavirus Strain Hg18	Bovine Rotavirus Strain Hg18
AF237947.1	11411	Mayaro virus, complete genome	59301	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Mayaro virus	unclassified Mayaro virus subspecies/strain	unclassified Mayaro virus strain
AF238233.1	2706	Bovine adenovirus type 8 hexon gene, partial cds	120509	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Bovine atadenovirus D	Bovine adenovirus 8	Bovine adenovirus 8
AF238486.1	9416	Hepatitis C virus subtype 2b strain MD2b-1, complete genome	31650	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus subtype 2b	Hepatitis C virus subtype 2b
AF239174.1	1414	Grass carp hemorrhagic virus segment S7 nonstructural protein NS15.6, nonstructural protein NS12, and nonstructural protein NS31 mRNAs, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF239175.1	2039	Grass carp hemorrhagic virus segment M6 outer capsid protein VP5 gene, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF241168.1	4981	Budgerigar fledgling disease virus - 1 agnoprotein genes, complete cds, alternatively spliced; and virus protein 2, virus protein 3, virus protein 1, large T antigen, and small t antigen genes, complete cds	133789	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Gammapolyomavirus	Gammapolyomavirus avis	Budgerigar fledgling disease virus - 1	Budgerigar fledgling disease virus - 1
AF241359.1	7411	Enterovirus B73 isolate CA55-1988, complete genome	200154	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Enterovirus B73	Enterovirus B73
AF251262.1	2239	Grass carp hemorrhagic virus segment M5 inner capsid protein VP4 gene, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF252610.1	2037	Columbid circovirus (CoCV), complete genome	126070	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Pigeon circovirus	Columbid circovirus	Columbid circovirus
AF253420.1	10943	Langat virus attenuated strain E5 polyprotein gene, complete cds	11085	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Langat virus	unclassified Langat virus subspecies/strain	unclassified Langat virus strain
AF260508.1	6759	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8
AF261761.1	3736	Torque teno virus 7 isolate PMV, complete genome	687346	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 7	unclassified Torque teno virus 7 subspecies/strain	unclassified Torque teno virus 7 strain
AF271090.1	1062	Canine rotavirus RV52/96 outer capsid protein mRNA, complete cds	560626	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Canine rotavirus RV52/96	Canine rotavirus RV52/96
AF276696.1	654	African horse sickness virus 4 strain HS39/97 nonstructural protein NS3 (S10) gene, complete cds	36421	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	African horse sickness virus	African horse sickness virus 4	African horse sickness virus 4
AF276987.1	3616	Hantavirus Z10 segment M G1/G2 glycoprotein gene, complete cds	93830	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus Z10	unclassified Hantavirus Z10 subspecies/strain	unclassified Hantavirus Z10 strain
AF277675.1	10205	Taura syndrome virus, complete genome	142102	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Aparavirus	Taura syndrome virus	unclassified Taura syndrome virus subspecies/strain	unclassified Taura syndrome virus strain
AF282467.1	4349	Eyach virus segment 1, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282468.1	3934	Eyach virus segment 2, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282469.1	3585	Eyach virus segment 3, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282470.1	3156	Eyach virus segment 4, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282471.1	2398	Eyach virus segment 5, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282472.1	2178	Eyach virus segment 6, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282473.1	2139	Eyach virus segment 7, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282474.1	2028	Eyach virus segment 8, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282475.1	1884	Eyach virus segment 9, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282476.1	1879	Eyach virus segment 10, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282477.1	1002	Eyach virus segment 11, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF282478.1	678	Eyach virus segment 12, complete sequence	62352	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Coltivirus	Eyach coltivirus	Eyach virus	Eyach virus
AF284502.1	3877	Grass carp hemorrhagic virus segment L2 inner capsid protein VP2 gene, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF284503.1	3702	Grass carp hemorrhagic virus segment L3 inner capsid protein VP3 gene, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF284504.1	1130	Grass carp hemorrhagic virus segment S9 nonstructural protein NS38 gene, complete cds	128986	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus	Aquareovirus C	Grass carp hemorrhagic virus	Grass carp hemorrhagic virus
AF285264.1	1724	Hantavirus AH09 segment S nucleocapsid protein gene, complete cds	139643	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus AH09	unclassified Hantavirus AH09 subspecies/strain	unclassified Hantavirus AH09 strain
AF285265.1	3625	Hantavirus AH09 segment M envelope glycoprotein gene, complete cds	139643	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantavirus AH09	unclassified Hantavirus AH09 subspecies/strain	unclassified Hantavirus AH09 strain
AF285266.1	6530	Hantavirus Z37 segment L L protein gene, complete cds	279233	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Seoul orthohantavirus	Hantavirus Z37	Hantavirus Z37
AF286229.1	9013	HIV-1 strain 98CN006 from China, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF286236.1	9060	HIV-1 isolate 83CD003 from Republic of the Congo, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF286237.1	9060	HIV-1 isolate 94CY017.41 from Cyprus, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF286238.1	8972	HIV-1 isolate 97CDKTB48 from Republic of the Congo, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF286239.1	9064	HIV-1 isolate 97KR004 from South Korea, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
